,0,1,2,3,4,5
0,84.0,99.25,96.2,96.63888888888889,96.15453231774842,0.91625
1,92.0,97.25,96.2,90.62004662004662,98.00291386266997,0.94625
2,90.0,96.25,95.0,88.7802197802198,97.47237394188612,0.9312499999999998
3,92.0,96.25,95.4,89.18706293706293,98.01927362902973,0.9412499999999999
4,88.0,98.5,96.4,94.68181818181819,97.0809571979602,0.9324999999999999
5,95.0,96.75,96.4,89.33866133866135,98.74192485168095,0.9587499999999999
6,90.0,97.0,95.6,90.85164835164836,97.49309138590267,0.9349999999999999
7,90.0,97.25,95.8,89.84343434343435,97.49200157993484,0.9362499999999999
8,91.0,98.25,96.2,91.74825174825176,97.79699365674976,0.9425000000000001
9,88.0,96.5,95.8,87.67063492063491,96.60100062539088,0.9299999999999999
10,94.0,98.0,97.2,93.37412587412587,98.52894431199951,0.96
11,91.0,98.5,97.0,94.40404040404042,97.80950147413562,0.9475
12,94.0,98.0,97.0,93.37412587412587,98.03504187297511,0.9550000000000001
13,93.0,98.5,97.4,93.34343434343435,98.02928169391585,0.95625
14,92.0,97.75,96.4,92.96503496503496,97.55885139678465,0.95875
15,96.0,98.5,97.8,94.60606060606061,99.02349682837487,0.9724999999999999
16,96.0,98.0,97.6,93.01515151515152,98.99903722721437,0.97
17,93.0,98.75,97.6,95.27272727272727,98.30371660859466,0.95875
18,95.0,98.0,97.4,93.37412587412587,98.7612323491656,0.9650000000000001
19,92.0,98.5,97.2,94.49494949494951,98.05950147413562,0.9525
20,89.0,97.75,96.6,93.42307692307693,97.2840791001895,0.9337500000000001
21,91.0,97.5,96.4,90.02525252525253,97.99874921826141,0.9475
